Year,Player,Pos,College,qb_career_plays,qb_seasons,qb_final_qbr,qb_best_qbr,qb_epa_per_play,qb_final_epa_per_play,qb_sack_epa_per_play,qb_run_epa_per_play
2018,Mike White,QB,Western Kentucky,1435.0,3,51.4,77.6,0.09359,0.08398,-0.0361,-0.00279
2018,Riley Ferguson,QB,Memphis,1142.0,2,70.7,70.7,0.10701,0.14154,-0.0289,0.00797
2018,Sam Darnold,QB,USC,1075.0,2,73.2,86.2,0.11963,0.10033,-0.0214,0.0053
2018,Tanner Lee,QB,Nebraska,1210.0,3,61.6,61.6,0.01149,0.04374,-0.03281,-0.00529
2019,Brett Rypien,QB,Boise State,1974.0,4,74.4,74.4,0.10319,0.12628,-0.02756,-0.00076
2019,Clayton Thorson,QB,Northwestern,2193.0,4,62.0,70.0,0.05869,0.04622,-0.04036,0.02316
2019,Daniel Jones,QB,Duke,1770.0,3,72.3,72.3,0.05644,0.08423,-0.03367,0.02876
2019,Drew Lock,QB,Missouri,1936.0,4,82.0,82.0,0.06529,0.12826,-0.02051,0.01018
2019,Dwayne Haskins,QB,Ohio State,673.0,1,84.8,84.8,0.1416,0.1416,-0.01694,-0.00401
2019,Gardner Minshew,QB,Washington State,1113.0,2,76.5,76.5,0.09739,0.11955,-0.01123,0.00476
2019,Jarrett Stidham,QB,Auburn,982.0,2,60.1,67.2,0.04776,0.03171,-0.04022,-0.00244
2019,Kyler Murray,QB,Oklahoma,553.0,1,95.4,95.4,0.25877,0.25877,-0.01736,0.07685
2019,Ryan Finley,QB,NC State,1674.0,3,78.4,80.4,0.11099,0.13802,-0.01493,0.00568
2019,Trace McSorley,QB,Penn State,1723.0,3,64.8,81.5,0.09263,0.06183,-0.02832,0.02391
2019,Tyree Jackson,QB,Buffalo,1274.0,3,77.3,77.3,0.09922,0.15295,-0.01845,0.02598
2019,Will Grier,QB,West Virginia,965.0,2,81.0,81.0,0.13927,0.14804,-0.0258,-0.00622
2020,Anthony Gordon,QB,Washington State,784.0,1,78.2,78.2,0.13661,0.13661,-0.02028,-0.00153
2020,Brian Lewerke,QB,Michigan State,1650.0,3,69.5,77.7,0.06994,0.08443,-0.02255,0.02248
2020,Cole McDonald,QB,Hawai'i,1342.0,2,70.8,70.8,0.10313,0.11761,-0.02355,0.01855
2020,Jacob Eason,QB,Washington,949.0,2,65.9,65.9,0.06017,0.08129,-0.03056,0.00558
2020,Jake Fromm,QB,Georgia,1233.0,3,76.6,85.1,0.11452,0.08151,-0.02774,0.00016
2020,Jake Luton,QB,Oregon State,711.0,2,68.2,68.2,0.08087,0.1016,-0.03277,-0.00394
2020,Jalen Hurts,QB,Oklahoma,1672.0,3,89.7,89.7,0.1177,0.17879,-0.02476,0.05449
2020,James Morgan,QB,Florida International,1435.0,4,53.7,68.8,0.04857,0.07556,-0.02627,-0.00334
2020,Joe Burrow,QB,LSU,1249.0,2,94.9,94.9,0.16461,0.21623,-0.02962,0.02906
2020,Jordan Love,QB,Utah State,1409.0,3,51.7,67.8,0.06011,0.05367,-0.01476,-0.00241
2020,Justin Herbert,QB,Oregon,1654.0,4,74.7,80.1,0.10816,0.10553,-0.02666,0.0156
2020,Nate Stanley,QB,Iowa,1417.0,3,67.6,74.2,0.07142,0.07441,-0.03126,0.00268
2020,Shea Patterson,QB,Michigan,1279.0,3,71.3,81.5,0.08319,0.07743,-0.03237,0.00805
2020,Steven Montez,QB,Colorado,1621.0,3,63.5,63.5,0.07298,0.07312,-0.03134,0.01949
2020,Tua Tagovailoa,QB,Alabama,740.0,2,94.8,94.8,0.20797,0.21656,-0.02027,0.01311
2020,Tyler Huntley,QB,Utah,1365.0,3,80.5,80.5,0.0893,0.13855,-0.03319,0.01722
2021,Davis Mills,QB,Stanford,540.0,2,77.4,77.4,0.11833,0.12934,-0.02648,0.00185
2021,Feleipe Franks,QB,Arkansas,1169.0,3,66.5,67.1,0.03516,0.05707,-0.03798,0.01009
2021,Ian Book,QB,Notre Dame,1512.0,3,84.0,84.0,0.12275,0.13546,-0.01971,0.02467
2021,Jamie Newman,QB,Georgia,573.0,1,63.5,63.5,0.09005,0.09005,-0.0267,0.0164
2021,Justin Fields,QB,Ohio State,873.0,2,91.7,92.1,0.16002,0.15808,-0.0323,0.0449
2021,K.J. Costello,QB,Mississippi State,767.0,2,40.8,82.6,0.08814,-0.03592,-0.03677,-0.00104
2021,Kellen Mond,QB,Texas A&M,1977.0,4,74.9,74.9,0.07097,0.10224,-0.02893,0.01958
2021,Kyle Trask,QB,Florida,986.0,2,88.5,88.5,0.14219,0.17425,-0.0284,0.00538
2021,Mac Jones,QB,Alabama,489.0,1,96.1,96.1,0.23824,0.23824,-0.01636,0.00409
2021,Sam Ehlinger,QB,Texas,2190.0,4,76.6,77.6,0.1021,0.11261,-0.02749,0.02406
2021,Shane Buechele,QB,SMU,1900.0,4,76.3,76.3,0.08905,0.13555,-0.03137,0.00832
2021,Trevor Lawrence,QB,Clemson,1475.0,3,84.0,87.3,0.13125,0.12947,-0.01702,0.02692
2021,Zach Smith,QB,Tulsa,1139.0,3,50.8,51.8,0.01896,0.02967,-0.04539,-0.01335
2021,Zach Wilson,QB,BYU,1145.0,3,88.6,88.6,0.12052,0.19838,-0.03258,0.02559
